doi,scopus_eid,scopus_citas,scopus_tipo_doc,scopus_keywords,scopus_abstract,scopus_issn,scopus_revista
10.3389/fpsyg.2020.563506,2-s2.0-85095688088,4,Article,child well-being; children’s cognitive and learning abilities; children’s socioemotional development; evidence-based practice; family and school relation; family involvement,"There are several programs that aim to strengthen the bond between families and schools that have shown a positive impact on this relationship as well as its effectiveness in improving academic and socioemotional child indicators. Most of the studies in this area come from Anglo-Saxon countries while in Latin America research is still scarce. Thus, this study aims to assess the influence of implementing an Ecological, Participatory, Integral and Contextualized Family-School Collaboration Model (EPIC) on family involvement, social-emotional development, and cognitive test outcomes in children in elementary school. Three possible hypotheses have been considered: (1) The EPIC Family-School Collaboration Model will have a positive and significant influence on the level of family involvement; (2) The EPIC Family-School Collaboration Model will have a positive and significant influence on the results of some cognitive tests; and; (3) The EPIC Family-School Collaboration Model will have a positive and significant influence on child social-emotional development. The study included 171 students who attended second and third elementary grades in schools in Chile during 2017 and fourth and fifth grades during 2019. The children were between 7 and 12 years old (M = 8.17, SD = 0.98), during 2017 and between 9 and 14 years old (M = 9.88, SD = 0.99), during 2019. The results show that the EPIC Family-School Collaboration Model has a positive and significant influence on the level of home-based involvement, memory and attention and intrapersonal skills in the first cycle of elementary education.",16641078,Frontiers in Psychology
10.22199/issn.0718-1043-2020-0053,2-s2.0-85101855368,1,Article,El Molle Complex; smoking practices; tobacco; “Inverted T” pipes,"Smoking pipes are one of the cultural expressions of Early Ceramic Period groups that inhabited the northern semiarid region (NSA) of Chile between Salado and Choapa rivers basins (26º-31, 5ºS). We have explored the smoking complex in this region in search of the type of connections we previously found for the Chilean central region in La Granja archeological context of the Cachapoal basin (Planella, Belmar, Quiroz, Falabella, Alfaro, Echeverría y Niemeyer, 2016). Specialized analysis, i.e ceramic and lithic, archaeobotanical (microfossils) and chemical (gas chromatography/mass spectrometry) of smoking pipes fragments from three northern semiarid areas (Copiapó, Huasco-Elqui, Limarí and Choapa), has shown that the major part of them correspond to the “Inverted T” pipes type, and have evidenced the presence of Pooideae phytoliths, Nicotiana spp., Zea mays L. and Solanaceae starch grains, as well as chemical compound where the fatty acids methyl esters highlighted (palmitic and stearic) and long chain alcohols. The morphology and contents of pipes, also seen in those from central Chile, confirms the existence of a shared cultural background between these regions, albeit in multiple contexts. Finally, it is concluded that this contextual diversity is evocative of the ritual centrality in the re-conceptualization of smoking complex in NSA.",07160925,Estudios Atacamenos
10.1177/0049124118769090,2-s2.0-85092353482,4,Article,dimensionality; factor analysis; Mokken scale analysis; NOHARM; principal component analysis,"The need to determine the correct dimensionality of theoretical constructs and generate valid measurement instruments when underlying items are categorical has generated a significant volume of research in the social sciences. This article presents two studies contrasting different categorical exploratory techniques. The first study compares Mokken scale analysis (MSA) and two-factor-based exploratory techniques for noncontinuous variables: item factor analysis and Normal Ogive Harmonic Analysis Robust Method (NOHARM). Comparisons are conducted across techniques and in reference to the common principal component analysis model using simulated data under conditions of two-dimensionality with different degrees of correlation (r =.0 to.6). The second study shows the theoretical and practical results of using MSA and NOHARM (the factorial technique which functioned best in the first study) on two nonsimulated data sets. The nonsimulated data are particularly interesting because MSA was used to solve a theoretical debate. Based on the results from both studies, we show that the ability of NOHARM to detect dimensionality and scalability is similar to MSA when the data comprise two uncorrelated latent dimensions; however, NOHARM is preferable when data are drawn from instruments containing latent dimensions weakly or moderately correlated. This article discusses the theoretical and practical implications of these findings.",15528294 00491241,Sociological Methods and Research
10.21865/RIDEP55.2.07,2-s2.0-85086109192,5,Article,Online questionnaire; Scale; Secondary students; Social skills; Validation,"An online questionnaire of social skills for an academic context was created for secondary public-school students. Two studies were carried out. In the first (583 participants) a questionnaire was constructed based on a structure proposed by Del-Prette, Del-Prette and Mendes (1998), and its reliability and validity based on content, structure and external criteria were assessed. In the second study, the stability of the resulting structure was tested and its reliability was estimated. It was obtained a questionnaire with adequate psychometric properties for descriptive uses, with a structure of three factors: Assertiveness, Conversation and Self-regulation. In the light of these results, the dimensionality of social skills is discussed.",21836051 11353848,Revista Iberoamericana de Diagnostico y Evaluacion Psicologica
10.1590/2238-38752019v1012,2-s2.0-85086273533,5,Article,Centre/periphery; Functional differentiation; Latin America; Networks; Niklas Luhmann; Stratification; Systems theory,"In this article we argue that functional differentiation, the prevalent form of social organisation in world society, was not a European imposition on America, since it had yet to take place at the moment when the two regional societies came into contact. Functional differentiation emerged from the relationship between Europe and America. Moreover, multilayered networks also became formed, co-evolving with functional differentiation in America and giving a particular character to American differentiation. Setting out from Niklas Luhmann's concept of functional differentiation and a historical-evolutionary analysis of the process of differentiation in America, we identify particular moments of this development and its main features. We conclude that Latin American sociology requires the adoption of an evolutionary approach to society to decentralize its vision from the present, escape the methodological nationalism that characterizes it, and transform itself into the sociology of world society.",22383875,Sociologia e Antropologia
10.29265/gypp.v29i2.780,2-s2.0-85089417335,8,Article,Decentralization; Government programs; Implementation; New public management; School mental health programs,"This research aimed to characterize the implementation of a public school mental health program through the practices and perspectives of those who execute it under the prism of the New Public Management in Chile. Through qualitative content analysis of nine focus groups and four interviews, the results showed that the implementation is characterized by implementers whose practices are strongly influenced by their years of experience, and for an execution that requires high levels of adaptability and goes beyond what is indi-cated in the technical guidelines. Its implications are discussed given the way decentralization has taken in Latin America and its consequences for public policies.",24489182 14051079,Gestion y Politica Publica
10.5354/0719-0527.2020.59350,NA,NA,NA,NA,NA,NA,NA
10.1590/s1413-24782020250030,2-s2.0-85089807649,9,Article,Diversity; Inclusive education; Recognition,"In Chile, a significant number of students from minority groups are excluded from participating in the educational system due to their cultural, linguistic, biological or social differences. The theory of recognition proposes a system of categories that allows analyzing the educational responses formulated to overcome barriers of access, participation and progress in the school trajectory. To do this, it is proposed to critically analyze the discourse of teachers, as the main actors involved in the daily implementation of educational policies on inclusion, in educational spaces in which practices and experiences rooted in a traditional school culture are reproduced. Evidencing these discourses will allow us to approach the understanding of the problem of participation and academic progress in the educational system of students from minority groups.",1809449X 14132478,Revista Brasileira de Educacao
10.4067/S0717-71942020000200337,2-s2.0-85101594219,2,Article,Bolivia; Chile; Chilean-Bolivian relations; Ibañismo; national-populism; revolution; twentieth century,"The article addresses the Chilean receptiveness to the Bolivian revolution during Ibáñez’s second administration (1952-1958) based on the histoire croisée approach and the concept of transfer. It shows that the Bolivian revolution, which erupted in April 1952, exerted influence and aroused interest in the main organizations that supported the Ibáñez’s administration. The revolution was characterized by the massive participation of various sectors of Bolivian society, as well as by the nationalization of tin mining and the agrarian reform. At the same time, Ibañista organizations in Chile attracted by the national-populism underlying the Bolivian revolution, even proposing the need to try implementing procedures and initiatives adopted by the government of Víctor Paz Estenssoro.",00732435,Historia (Chile)
10.1590/es.219509,2-s2.0-85088790136,17,Article,Chilean school model; New Public Management; Scoping review of literature; Teaching work,"The article presents a scoping review of the literature on teaching work and New Public Management in Chile from 48 researches published in the period from 2008 to 2018. The review allowed identifying four lines of research, as follows: “analysis of regulatory frameworks and prescriptions of the teaching work” (7 studies); “research on the implementation of managerial policies” (16 studies); “teacher subjectivity and managerial policies” (15 studies); and “studies on the validity of policy instruments” (10 studies). As final considerations, an evaluative synthesis is exposed about the four identified categories, their methodological approaches and main findings, while pointing out knowledge gaps and challenges for future research.",16784626 01017330,Educacao e Sociedade
10.1080/13607863.2018.1531378,2-s2.0-85059536142,8,Article,accommodation; Aging; coping; loss; subjective well-being,"Aim: Flexible adjustment or accommodation to loss is healthy; however, little is known about how it can be achieved in old age. We sought to identify and characterize effective coping processes for achieving accommodation at this stage of life. Our aim was to foster the activation of the psychological resources of those who must deal with significant losses to which they will inevitably need to adapt. Method: Qualitative study with a sample of men (n = 16) and women (n = 19) aged 60 years and up. Information was collected through observation and content analysis applied to 35 in-depth interviews, using Atlas-Ti (v7). Results: Eighteen coping processes implemented in response to loss were identified and characterized. Although no single process led to full adjustment by itself, the difference between the participants who accommodated and those who lacked accommodation was reflected in the predominance of certain processes. This approach enabled us to identify 13 effective processes, such as the search for meaning and the use of humor, which were generally used by participants who had achieved accommodation. The processes regarded as ineffective, such as avoidance and procrastination, were used more often by those who displayed insufficient accommodation. Conclusion: It was confirmed that accommodation to losses in old age not only results from “the passage of time”; rather, it can be fostered by people's active efforts. Knowledge of these practices can help practitioners orient mental health interventions for older adults who have difficulty coping in healthy ways and preserving their subjective well-being.",13646915 13607863,Aging and Mental Health
10.1080/02615479.2020.1813702,2-s2.0-85090979434,3,Article,Chile; crisis; innovation; research; social work,"Chilean Social Work has its origins and has developed facing crises. The first chool founded in 1925—worked directly with infectious diseases such as tuberculosis and syphilis, exposing their causes: overcrowding, poor housing conditions, poverty and exploitation of working classes. The Pinochet’s dictatorship and related political crises during the last decades have also impacted the development of social work. Recently, gross inequalities and further discontent about the neoliberal Chilean model broke out last year when mass civil protests took over the country. A new crisis emerged with the arrival of COVID 19 exposing poverty, inequality, oppression, and dispossession accumulated during the decades, just as in the inception of the profession. In this paper, we discuss two initiatives promoted by the Department of Social Work at the University of Chile which propose to address professional training in the context of political and sanitary crises. The first initiative ‘Transdisciplinary Nucleus of Social Work’ integrates research and intervention seeking to impact public discussions, creating integrated spaces of professional and academic training of undergraduate and graduate social work students. The second initiative ‘Social Work Researchers Network—Online Training’ provides students and social workers with free access to social work courses donated by the network’s members.",14701227 02615479,Social Work Education
10.1017/S0959774320000013,2-s2.0-85082518787,2,Article,NA,"The Ceramic Periods in central Chile are a scenario of major changes in mobility and subsistence systems, associated with the incorporation of cultigens as the basis of subsistence. In this paper, we present a study of the funerary contexts of the Ceramic Periods in central Chile in order to assess whether in this scenario, generally considered very significant in the low-scale societies studied here, gender categories were constructed or signified, and how this changed over time. The results of the analysis suggest that gender categorization was not always important in this scenario. Among Llolleo groups, the offerings associated with females and children suggest their relation with production spheres; in Bato groups, on the other hand, age categories seem to be more important. In the Late Intermediate Period, it is the collective aspect that appears to be stressed in the funerary contexts.",14740540 09597743,Cambridge Archaeological Journal
10.14482/memor.40.069.41,2-s2.0-85129519567,1,Article,Andean Communities; archaeological sites; Community Museum; heritage; indigeneous identities; intercultural dialogues,"This work collects the experience developed by a group of researchers in set with an Andean Community in the northern Chile along mutual and fluent relations, those that have spent to lean diverse initiatives like the one of this heritage Project that is born of the interest of the own Community for putting in value and install a circuit of visitation to show the pukara and the chullpas, where the museum constitute a center of interpretation and an office of local heritage that interweave the archaeologic sites and the different rings that compose their territory. Our approach tries to move away conclusive and dichotomic stances in order to denature categories, destabilize hierarchies, and decenter paradigms. Therefore, we propose an analysis from the myriad of internal process that shows the variability and the mutability in the assemblies of Andinity.",17948886,Memorias
10.4422/ager.2020.05,2-s2.0-85086944527,0,Article,Chile; Family farmers; Inclusive markets; Public procurements; School meals,"Government purchases of food from family farmers aim to provide a new market for smallscale farming while promoting food security for vulnerable populations. In Latin America there are various examples of these initiatives but with important differences in their implementation. Our objective is to review the effects on the farmers who sell into these programs, considering the case of Chile. There, since 2017, companies hired by the government to provide school meals are required to include a percentage of local products in their purchases. Information was collected through personal interviews with farmers and advisors from three agricultural organizations participating in government purchases in two different regions. The results show that in this case public purchases have the novelty of being a formal market for farmers, which is a very relevant experience for them. However, the conditions are neither stable nor always beneficial for farmers due to important asymmetries in negotiating power with purchasing companies. We conclude that the Chilean initiative has interesting potential impacts, but some major changes must be made to it, as greater involvement and will on the part of the parties.",23404655 15787168,Ager
10.32735/s0718-6568/2020-n57-1571,2-s2.0-85103781554,0,Article,Anthropology; Chocholtecos; Iztapalapa; Popular urban movement; Urban indigenous,"The purpose of this article is to learn about the forms of socio-economic incorporation of the indigenous population in Mexico City, specifically in the multi-ethnic colony of San Miguel Teotongo, located in the Iztapalapa Delegation, Mexico City. It describes the current modalities of material and symbolic exchange of the original population of the Oaxacan Mixtec region: immigrants of the Chocholteco people, as well as those born in Mexico City (the so-called «second generation»), in the world economic-political context of globalization. The origin of the colony is assumed as a historical reference, at the beginning of the 1970s, when the Unión de Colonos San Miguel Teotongo (UCSMT) was created, which was part of the Movimiento Urbano Popular (MUP), which brought together most of the neighbors, and was supported by the current President of Mexico, Andrés Manuel López Obrador (AMLO), who was Head of Government in the Federal District between 2000 and 2005.",11209488,Polis (Italy)
10.1007/s10668-018-0271-3,2-s2.0-85055457481,38,Article,Chilean water code; Climate change; Social–ecological resilience; Water governance; Water markets; Water stress,"The paper proposes an analysis of the social–ecological resilience of the Limarí Basin, an agriculture-intensive dryland in the north of Chile, featuring one of the most innovative market-based water managements and the most active water rights market in the country, but concurrently affected by an ongoing water stress situation. The Chilean water market, one of the main examples of the application of neoliberal policies in water management, has received mixed appraisals although, at present, few empirical studies evaluate the social and environmental conditions associated with their operation. This paper, on the contrary, maintains the necessity to assess the capacity of market-based models to face situations of water stress, particularly since mega-drought phenomena are projected to become a recurring and increasing problem during the following decades because of climate change. The study offers a mixed bottom-up and top-down qualitative empirical analysis of how the Chilean water market operates, providing relevant insights into four dimensions of the social–ecological resilience of the watershed: redundancy, diversity and flexibility; connectivity, collaboration and collective action; social–ecological memory and learning; self-organization and governance of system changes. The conclusion is that water scarcity is self-produced: despite the flexibility provided by market-based water management, the combined effect of strong deregulation, of the absence of territorial planning and integrated management of water resources, and of short-term attitudes and generalized mistrust, has led the system to the critical situation it is now facing.",15732975 1387585X,"Environment, Development and Sustainability"
10.4067/S0717-554X2020000300229,2-s2.0-85098936953,2,Review,Boundary; Boundary object; Communities of practice; Intermediary objects,"This paper examines the uses of the notion of boundary in sociological theory as a useful analogy to describe spatiality in situations of material semantic exchange and cooperation between different actors and communities. These uses do not account for a limit or a form defined by its location between the borders of different territories, but for a relational space that translates and symmetrizes the epistemological differences of the actors, and whose object quality allows for heterogeneous localization. Finally, we evaluate the extent to which the objective condition of boundaries allows cooperation practices to be scenarios of epistemological difference and its effect on the cohesion between actors and communities defined by it.",0717554X,Cinta de Moebio
10.1038/s41598-020-78013-x,2-s2.0-85097063748,29,Article,NA,"We present isotopic and morphometric evidence suggesting the migration of farmers in the southern Andes in the period AD 1270–1420, leading up to the Inka conquest occurring ~ AD 1400. This is based on the interdisciplinary study of human remains from archaeological cemeteries in the Andean Uspallata Valley (Argentina), located in the southern frontier of the Inka Empire. The studied samples span AD 800–1500, encompassing the highly dynamic Late Intermediate Period and culminating with the imperial expansion. Our research combines a macro-regional study of human paleomobility and migration based on a new strontium isoscape across the Andes that allows identifying locals and migrants, a geometric morphometric analysis of cranio-facial morphology suggesting separate ancestral lineages, and a paleodietary reconstruction based on stable isotopes showing that the migrants had diets exceptionally high in C4 plants and largely based on maize agriculture. Significantly, this migration influx occurred during a period of regional demographic increase and would have been part of a widespread period of change in settlement patterns and population movements that preceded the Inka expansion. These processes increased local social diversity and may have been subsequently utilized by the Inka to channel interaction with the local societies.",20452322,Scientific Reports
10.1007/s11069-020-04091-9,2-s2.0-85086675531,19,Article,Disaster risk reduction; Social capital; Social trust,"This article analyzes the impact of socio-natural disasters on social capital at a local level, studying the cases of the communities of Chañaral and Diego de Almagro after the flooding and mudflow disasters of 2015. Specifically, we explore different dynamics of social capital in the response to the emergency, recovery and reconstruction stages, exploring its role in strengthening adaptation and resilience capacities for disaster risk reduction. Through the qualitative analysis of semi-structured interviews with survivors of the disaster, we explore the nature and role of social trust and its influence on the formation and consolidation of bonding, bridging and linking social capital in the context of disaster is analyzed. The results unpack the role of social capital in the response, recovery and reconstruction processes after a disaster event, which directly influences the development and consolidation of capacities for community adaptation, highlighting the role of trust for the strengthening of resilience. Likewise, the article provides details about the role of institutions and authorities in the consolidation of bridging and linking social capital, which requires the generation of formal and fluid communication channels that allow for the creation of trust, not only among the members of the community, but between the community and the institutions and authorities.",15730840 0921030X,Natural Hazards
10.1080/13676261.2019.1636011,2-s2.0-85068614086,8,Article,Debt; financialization; student loans; transition; young adulthood,"This paper seeks to explore how indebtedness increases the economic instability of Chilean young adults working as professionals who are unable to address their financial commitments. This is taking place within a context of sustained increases in consumer debt and the financialization of policies on higher education access. This is a descriptive analysis of the results of a survey created in order to characterize the forms of indebtedness and credit obligations of young professional debtors in Santiago, Chile. We use this to explore how the transition to the adult world using debt can destabilize the socio-economic status of young professionals. Our results show that a rather large percentage of these youths has more debt than income and that educational and consumer debts are the reason for late payments. They also have a harder time handling economic commitments when they have dependents. Young debtors are generally worried about their debt levels.",14699680 13676261,Journal of Youth Studies
10.4067/S0718-22362020000100078,NA,NA,NA,NA,NA,NA,NA
10.1590/0102-311X00199819,2-s2.0-85091597009,5,Article,Cultural Anthropology; Diet; Life Style; Nutrition; Working Women,"Lifestyles have been highlighted as the main risk factor for noncommunicable diseases in the 21st century, often leaving aside the role of material conditions of reproduction of daily life in modeling of habits and behaviors. The article addresses the tensions and transactions in family nutrition in the city of Santiago, Chile, in which mothers do paid work and are simultaneously in charge of housework and family care. An ethnographic focus was used in interviews with mothers, in addition to passive and participant observation in 20 households in the years 2015 and 2017 to reconstruct the nutritional strategies and reconciliation of women's paid work with family demands. Such strategies link material, cultural, class, and gender aspects on a daily basis at both the micro and macrosocial levels, in a kind of puzzle that stabilizes preferences, dispositions, and decisions (habitus). The results indicate that mothers model the family lifestyles through such strategies, modulating and taking responsibility for structural aspects that transcend them, producing tension and precariousness in their personal and family life.",16784464 0102311X,Cadernos de Saude Publica
